diag_nat_code,chapter_range,chapter_name,group_range,group_name,sub_group_range,sub_group_name
N170,N00-N99,Diseases of the genitourinary system,N17-N19,Renal failure,N17-N19,Renal failure
Z830,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
R070,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R00-R09,Symptoms and signs involving the circulatory and respiratory systems,R00-R09,Symptoms and signs involving the circulatory and respiratory systems
M869,M00-M99,Diseases of the musculoskeletal system and connective tissue,M80-M94,Osteopathies and chondropathies,M86-M90,Other osteopathies
P929,P00-P96,Certain conditions originating in the perinatal period,P90-P96,Other disorders originating in the perinatal period,P90-P96,Other disorders originating in the perinatal period
P741,P00-P96,Certain conditions originating in the perinatal period,P70-P74,Transitory endocrine and metabolic disorders specific to fetus and newborn,P70-P74,Transitory endocrine and metabolic disorders specific to fetus and newborn
R898,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R83-R89,"Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis",R83-R89,"Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis"
B081,A00-B99,Certain infectious and parasitic diseases,B00-B09,Viral infections characterized by skin and mucous membrane lesions,B00-B09,Viral infections characterized by skin and mucous membrane lesions
K566,K00-K93,Diseases of the digestive system,K55-K64,Other diseases of intestines,K55-K64,Other diseases of intestines
J950,J00-J99,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J95-J99,Other diseases of the respiratory system
Q925,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q90-Q99,"Chromosomal abnormalities, not elsewhere classified",Q90-Q99,"Chromosomal abnormalities, not elsewhere classified"
E119,E00-E90,"Endocrine, nutritional and metabolic diseases",E10-E14,Diabetes mellitus,E10-E14,Diabetes mellitus
Z618,Z00-Z99,Factors influencing health status and contact with health services,Z55-Z65,Persons with potential health hazards related to socioeconomic and psychosocial circumstances,Z55-Z65,Persons with potential health hazards related to socioeconomic and psychosocial circumstances
R947,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R90-R94,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis",R90-R94,"Abnormal findings on diagnostic imaging and in function studies, without diagnosis"
K561,K00-K93,Diseases of the digestive system,K55-K64,Other diseases of intestines,K55-K64,Other diseases of intestines
Z883,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
I958,I00-I99,Diseases of the circulatory system,I95-I99,Other and unspecified disorders of the circulatory system,I95-I99,Other and unspecified disorders of the circulatory system
D225,C00-D48,Neoplasms,D10-D36,Benign neoplasms,D10-D36,Benign neoplasms
D815,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D80-D89,Certain disorders involving the immune mechanism,D80-D89,Certain disorders involving the immune mechanism
G404,G00-G99,Diseases of the nervous system,G40-G47,Episodic and paroxysmal disorders,G40-G47,Episodic and paroxysmal disorders
N23,N00-N99,Diseases of the genitourinary system,N20-N23,Urolithiasis,N20-N23,Urolithiasis
L928,L00-L99,Diseases of the skin and subcutaneous tissue,L80-L99,Other disorders of the skin and subcutaneous tissue,L80-L99,Other disorders of the skin and subcutaneous tissue
R300,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R30-R39,Symptoms and signs involving the urinary system,R30-R39,Symptoms and signs involving the urinary system
Q563,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q50-Q56,Congenital malformations of genital organs,Q50-Q56,Congenital malformations of genital organs
L678,L00-L99,Diseases of the skin and subcutaneous tissue,L60-L75,Disorders of skin appendages,L60-L75,Disorders of skin appendages
K819,K00-K93,Diseases of the digestive system,K80-K87,"Disorders of gallbladder, biliary tract and pancreas",K80-K87,"Disorders of gallbladder, biliary tract and pancreas"
K30,K00-K93,Diseases of the digestive system,K20-K31,"Diseases of oesophagus, stomach and duodenum",K20-K31,"Diseases of oesophagus, stomach and duodenum"
M628,M00-M99,Diseases of the musculoskeletal system and connective tissue,M60-M79,Soft tissue disorders,M60-M63,Disorders of muscles
J9699,J00-J99,Diseases of the respiratory system,J95-J99,Other diseases of the respiratory system,J95-J99,Other diseases of the respiratory system
K766,K00-K93,Diseases of the digestive system,K70-K77,Diseases of liver,K70-K77,Diseases of liver
Q245,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q20-Q28,Congenital malformations of the circulatory system,Q20-Q28,Congenital malformations of the circulatory system
K921,K00-K93,Diseases of the digestive system,K90-K93,Other diseases of the digestive system,K90-K93,Other diseases of the digestive system
Z961,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
B980,A00-B99,Certain infectious and parasitic diseases,B95-B98,"Bacterial, viral and other infectious agents",B95-B98,"Bacterial, viral and other infectious agents"
H578,H00-H59,Diseases of the eye and adnexa,H55-H59,Other disorders of eye and adnexa,H55-H59,Other disorders of eye and adnexa
A415,A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30-A49,Other bacterial diseases
Q238,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q20-Q28,Congenital malformations of the circulatory system,Q20-Q28,Congenital malformations of the circulatory system
D823,D50-D89,Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,D80-D89,Certain disorders involving the immune mechanism,D80-D89,Certain disorders involving the immune mechanism
B348,A00-B99,Certain infectious and parasitic diseases,B25-B34,Other viral diseases,B25-B34,Other viral diseases
R398,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R30-R39,Symptoms and signs involving the urinary system,R30-R39,Symptoms and signs involving the urinary system
N280,N00-N99,Diseases of the genitourinary system,N25-N29,Other disorders of kidney and ureter,N25-N29,Other disorders of kidney and ureter
Z932,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
Z842,Z00-Z99,Factors influencing health status and contact with health services,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status,Z80-Z99,Persons with potential health hazards related to family and personal history and certain conditions influencing health status
U074,U00-U85,Codes for special purposes,U00-U49,Provisional assignment of new diseases of uncertain etiology or emergency use,U00-U49,Provisional assignment of new diseases of uncertain etiology or emergency use
I158,I00-I99,Diseases of the circulatory system,I10-I15,Hypertensive diseases,I10-I15,Hypertensive diseases
A490,A00-B99,Certain infectious and parasitic diseases,A30-A49,Other bacterial diseases,A30-A49,Other bacterial diseases
B007,A00-B99,Certain infectious and parasitic diseases,B00-B09,Viral infections characterized by skin and mucous membrane lesions,B00-B09,Viral infections characterized by skin and mucous membrane lesions
Y430,V01-Y98,External causes of morbidity and mortality,Y40-Y84,Complications of medical and surgical care,Y40-Y59,"Drugs, medicaments and biological substances causing adverse effects in therapeutic use"
F845,F00-F99,Mental and behavioural disorders,F80-F89,Disorders of psychological development,F80-F89,Disorders of psychological development
I878,I00-I99,Diseases of the circulatory system,I80-I89,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified",I80-I89,"Diseases of veins, lymphatic vessels and lymph nodes, not elsewhere classified"
F515,F00-F99,Mental and behavioural disorders,F50-F59,Behavioural syndromes associated with physiological disturbances and physical factors,F50-F59,Behavioural syndromes associated with physiological disturbances and physical factors
E744,E00-E90,"Endocrine, nutritional and metabolic diseases",E70-E90,Metabolic disorders,E70-E90,Metabolic disorders
K551,K00-K93,Diseases of the digestive system,K55-K64,Other diseases of intestines,K55-K64,Other diseases of intestines
T140,S00-T98,"Injury, poisoning and certain other consequences of external causes",T08-T14,"Injuries to unspecified part of trunk, limb or body region",T08-T14,"Injuries to unspecified part of trunk, limb or body region"
Q893,Q00-Q99,"Congenital malformations, deformations and chromosomal abnormalities",Q80-Q89,Other congenital malformations,Q80-Q89,Other congenital malformations
R231,R00-R99,"Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",R20-R23,Symptoms and signs involving the skin and subcutaneous tissue,R20-R23,Symptoms and signs involving the skin and subcutaneous tissue
I701,I00-I99,Diseases of the circulatory system,I70-I79,"Diseases of arteries, arterioles and capillaries",I70-I79,"Diseases of arteries, arterioles and capillaries"
H042,H00-H59,Diseases of the eye and adnexa,H00-H06,"Disorders of eyelid, lacrimal system and orbit",H00-H06,"Disorders of eyelid, lacrimal system and orbit"
